FP-non-inferning	TP-non-inferning
0.008067565	0.07066878
0.00819233	0.0717224
0.008256797	0.072128678
0.008273528	0.072427682
0.008324232	0.07285378
0.008362231	0.073915452
0.008451162	0.07490286
0.008463297	0.075261612
0.008825685	0.075973254
0.008856728	0.076156142
0.008887502	0.076334139
0.008919944	0.076644071
0.008996732	0.077255904
0.009020023	0.077545716
0.009100927	0.078185635
0.009178161	0.078723868
0.010118025	0.080212176
0.010162238	0.080724632
0.010203039	0.081420477
0.010272916	0.081648583
0.010367667	0.082209055
0.010424888	0.082415983
0.010760858	0.083202993
0.010832005	0.084426137
0.010927843	0.084947858
0.011038379	0.085295361
0.011120945	0.08670376
0.011195951	0.086960517
0.01120628	0.087619631
0.01147082	0.088020652
0.011526011	0.088478042
0.012003909	0.089035415
0.012318312	0.089899747
0.012435345	0.092440972
0.01277447	0.093721289
0.013000847	0.095063337
0.013098481	0.095826917
0.013219976	0.096124425
0.013292555	0.096549404
0.013391097	0.097078839
0.013523541	0.097696645
0.013641313	0.099120836
0.013712849	0.10128104
0.013775432	0.101647264
0.014130539	0.103412008
0.014173901	0.103902547
0.014280137	0.104810347
0.014321609	0.105157303
0.014492221	0.106585769
0.014654877	0.110642237
0.015156985	0.111692189
0.015323353	0.112460718
0.015407348	0.114592314
0.016264247	0.116664031
0.016431273	0.11778838
0.016491556	0.11865181
0.016555548	0.119034327
0.016613809	0.120917813
0.016636266	0.121375621
0.01669605	0.12637048
0.017331181	0.127401532
0.017910409	0.131888118
0.018032079	0.132851302
0.018543551	0.134429552
0.018616755	0.134672307
0.018934886	0.138385584
0.020565035	0.140889402
0.021234789	0.143335225
0.022300343	0.145409821
0.023151878	0.147171604
0.023487862	0.148613997
0.023742654	0.154588514
0.024217544	0.156045701
0.024550109	0.158498742
0.02473231	0.15881134
0.024860679	0.159857953
0.024881663	0.160777412
0.025137014	0.161706803
0.025291419	0.163333329
0.025374599	0.164172343
0.025520877	0.167080724
0.025647465	0.17379049
0.02570301	0.178553189
0.025998703	0.179735989
0.026135086	0.180513038
0.027452472	0.182781798
0.029646797	0.18600584
0.029710784	0.188499552
0.031701559	0.193328551
0.032599669	0.196230708
0.032730795	0.197836609
0.033765729	0.204874862
0.033850623	0.205730055
0.034226277	0.207696088
0.034712597	0.217491498
0.036465869	0.223022477
0.036551795	0.223670535
